Nombre,Precio,Valoracion,Tienda,Fecha
"Portátil Microsoft Surface Pro 11 13"" 16GB 512GB 5G Plus",1900.97,,PcComponentes,2026-04-17
"Portátil HP OMEN 16-an0002ns 16"" Intel Core Ultra 7 255H 32GB 1TB SSD RTX 5060 8GB Shadow Black",1329.0,,PcComponentes,2026-04-17
"HP 15-FC0111NS AMD Ryzen 7 7730U/8GB/512GB SSD/15.6""",538.99,N/A,PcComponentes,2026-04-17
"HP 15-fc0184ns 15.6"" AMD Ryzen 7 7730U 16GB 1TB SSD Radeon Graphics Azul Windows 11",649.0,,PcComponentes,2026-04-17
"Portátil ASUS ExpertBook P1 P1403CVA-S61570X 14"" Intel Core 5 210H 16GB 512GB SSD Intel Graphics Windows 11 Pro",753.13,N/A,PcComponentes,2026-04-17
"Acer Chromebook 315 Intel Celeron N4500/8GB/64GB eMMC/15.6""",327.99,,PcComponentes,2026-04-17
"Portátil Lenovo V15 G6 15.6"" Intel N100 8GB 256GB SSD UHD Graphics Sin Sistema Operativo",317.0,,PcComponentes,2026-04-17
"Replay ThinkPad L390/ i5-8ª/ 8GB/ 256GB/ 13"" Refurbished",215.0,,PcComponentes,2026-04-17
"Portátil ASUS Vivobook 15 F1504VA-BQ125W 15.6"" Intel Core 5 120U 16GB 512GB SSD Windows 11 Plata Cool",549.0,,PcComponentes,2026-04-17
"Portátil HP ProBook 4 G1i 16"" Intel Core Ultra 7 255U 16GB SSD Intel Graphics Windows 11 Pro",1419.49,N/A,PcComponentes,2026-04-17
"Portátil HP ZBook 8 G1 14"" Intel Core Ultra 7 255H 32GB 1TB SSD Windows 11 Pro cámara IR 5MP",2128.83,N/A,PcComponentes,2026-04-17
"Portátil ASUS Vivobook 14 X1404VA-EB2076 14"" Intel Core 5 120U 16GB 1TB SSD Graphics Sin Sistema Operativo",689.13,N/A,PcComponentes,2026-04-17
"Portátil HP 255 G10 15,6″ Ryzen 3 8GB 256GB SSD WiFi 6 USB-C FreeDOS",375.87,,PcComponentes,2026-04-17
